customer_id,first_name,last_name,gender,age,city,state,join_date
1,Noah,Dubey,Male,64,Jaipur,Rajasthan,2022-03-26
2,Baljiwan,Dua,Male,29,Chandigarh,Chandigarh,2023-11-01
3,Anita,Borah,Female,49,Delhi,Delhi,2023-02-09
4,Mahika,Vyas,Female,35,Chennai,Tamil Nadu,2024-11-04
5,Vivaan,Varty,Male,66,Hyderabad,Telangana,2024-02-09
6,Amara,Kuruvilla,Female,30,Bhubaneswar,Odisha,2023-10-26
7,Balhaar,Baria,Male,18,Mumbai,Maharashtra,2025-11-19
8,Garima,Suri,Female,55,Visakhapatnam,Andhra Pradesh,2021-09-23
9,Xiti,Dhawan,Female,34,Jaipur,Rajasthan,2022-07-05
10,Veda,Srinivas,Female,61,Bhubaneswar,Odisha,2024-10-27
11,Advika,Contractor,Female,36,Delhi,Delhi,2021-07-27
12,Priya,Narang,Female,30,Bhubaneswar,Odisha,2023-10-08
13,Mohini,Walla,Female,42,Lucknow,Uttar Pradesh,2022-09-15
14,Abha,Goel,Female,56,Visakhapatnam,Andhra Pradesh,2024-04-15
15,Xavier,Trivedi,Male,52,Pune,Maharashtra,2023-07-21
16,Vanya,Khare,Female,66,Hyderabad,Telangana,2025-12-18
17,Bimala,Chander,Female,45,Bengaluru,Karnataka,2021-09-24
18,Omya,Puri,Female,52,Visakhapatnam,Andhra Pradesh,2024-12-01
19,Mohammed,Jain,Male,53,Bengaluru,Karnataka,2024-03-05
20,Banjeet,Anne,Male,58,Chennai,Tamil Nadu,2026-02-03
21,Ranveer,Subramaniam,Male,65,Ahmedabad,Gujarat,2025-09-30
22,Harsh,Bansal,Male,40,Visakhapatnam,Andhra Pradesh,2024-01-10
23,Aryan,Ram,Male,53,Bengaluru,Karnataka,2025-08-08
24,Ikshita,Chanda,Female,65,Kolkata,West Bengal,2022-12-01
25,Warinder,Suri,Male,42,Visakhapatnam,Andhra Pradesh,2023-03-18
26,George,Jaggi,Male,41,Visakhapatnam,Andhra Pradesh,2024-09-08
27,Siddharth,Tiwari,Male,52,Hyderabad,Telangana,2024-01-03
28,Tarak,Dixit,Male,21,Bhubaneswar,Odisha,2023-08-04
29,Gaurangi,Choudhary,Female,66,Bengaluru,Karnataka,2023-06-08
30,Gavin,Baral,Male,49,Lucknow,Uttar Pradesh,2024-08-21
31,Netra,Karpe,Female,43,Chennai,Tamil Nadu,2023-04-11
32,Ladli,Bhardwaj,Female,22,Kolkata,West Bengal,2023-05-31
33,Harinakshi,Kaul,Female,20,Chennai,Tamil Nadu,2026-02-16
34,Aishani,Kapur,Female,34,Jaipur,Rajasthan,2022-01-25
35,Udarsh,Trivedi,Male,40,Mumbai,Maharashtra,2026-07-04
36,Kiaan,Oza,Male,60,Bhubaneswar,Odisha,2024-10-03
37,Aarnav,Madan,Male,41,Bhopal,Madhya Pradesh,2021-08-17
38,Tristan,Jani,Male,69,Chennai,Tamil Nadu,2023-04-16
39,Laban,Ghosh,Male,68,Delhi,Delhi,2025-04-04
40,Hemal,Panchal,Female,28,Delhi,Delhi,2023-07-14
41,Varenya,Gandhi,Female,66,Bengaluru,Karnataka,2023-01-29
42,Triveni,Sethi,Female,62,Kochi,Kerala,2026-06-05
43,Caleb,Saxena,Male,29,Chennai,Tamil Nadu,2023-12-29
